"","Title","Author","Year","URL","Booktitle"
"115","Entropy-Based Knowledge Spreading and Application to Mobility Prediction","Fran\c{c}ois, Jean-Marc; Leduc, Guy","2005","https://doi.org/10.1145/1095921.1095924","Proceedings of the 2005 ACM Conference on Emerging Network Experiment and Technology"
"118","Testing in Resource Constrained Execution Environments","Kapfhammer, Gregory M.; Soffa, Mary Lou; Mosse, Daniel","2005","https://doi.org/10.1145/1101908.1101984","Proceedings of the 20th IEEE/ACM International Conference on Automated Software Engineering"
"119","State-Based Incremental Testing of Aspect-Oriented Programs","Xu, Dianxiang; Xu, Weifeng","2006","https://doi.org/10.1145/1119655.1119680","Proceedings of the 5th International Conference on Aspect-Oriented Software Development"
"120","A Framework and Tool Supports for Generating Test Inputs of AspectJ Programs","Xie, Tao; Zhao, Jianjun","2006","https://doi.org/10.1145/1119655.1119681","Proceedings of the 5th International Conference on Aspect-Oriented Software Development"
"122","Regression Testing of Multi-Tasking Real-Time Systems: A Problem Statement","Sundmark, Daniel; Pettersson, Anders; Thane, Henrik","2005","https://doi.org/10.1145/1121788.1121798",""
"123","P.R.O.S.E.: Partitioned Reliable Operating System Environment","Van Hensbergen, Eric","2006","https://doi.org/10.1145/1131322.1131329",""
"124","Quality Gates in Use-Case Driven Development","Paula Filho, Wilson P.","2006","https://doi.org/10.1145/1137702.1137710","Proceedings of the 2006 International Workshop on Software Quality"
"125","Optimal Release Time: Numbers or Intuition?","Sassenburg, Hans; Berghout, Egon","2006","https://doi.org/10.1145/1137702.1137714","Proceedings of the 2006 International Workshop on Software Quality"
"126","Coupling-Based Class Integration and Test Order","Abdurazik, Aynur; Offutt, Jeff","2006","https://doi.org/10.1145/1138929.1138940","Proceedings of the 2006 International Workshop on Automation of Software Test"
"127","Graph Model Selection Using Maximum Likelihood","Bez\'{a}kov\'{a}, Ivona; Kalai, Adam; Santhanam, Rahul","2006","https://doi.org/10.1145/1143844.1143858","Proceedings of the 23rd International Conference on Machine Learning"
"128","Architecture-Driven Platform Independent Deterministic Replay for Distributed Hard Real-Time Systems","Giese, Holger; Henkler, Stefan","2006","https://doi.org/10.1145/1147249.1147253","Proceedings of the ISSTA 2006 Workshop on Role of Software Architecture for Testing and Analysis"
